564	382.5	276
565	396	270
566	411	291
567	424	297
568	435	319
569	434	307
570	430	295
571	441	309
572	470	342
573	468	432
574	455	361
575	453	400
576	425	433
577	462	437
578	481	457
579	462	447
580	440	449
581	423	448
582	435	507.5
